#{"t_start": 1620345268.436006, "env_id": null}
r,l,t
-6820.139344,401,7.816045
-6692.827758,401,12.475602
-6540.751484,401,17.189226
-6731.652645,401,21.926683
-6534.467212,401,26.71781
-6894.007191,401,32.837755
-6854.784161,401,38.402503
-6571.448741,401,43.834479
-6824.820357,401,49.347799
-6490.003231,401,54.701048
-6098.861822,401,60.300022
-6533.007571,401,65.671369
-6691.389747,401,71.044262
-6058.597641,401,76.568469
-6669.598169,401,81.933334
-6359.653004,401,87.286216
-6337.902963,401,92.642293
-6306.586844,401,98.026226
-6387.894568,401,103.409173
-5764.370729,401,108.774978
-6075.415904,401,114.161952
-5941.254433,401,119.525922
-5359.182084,401,124.886396
-6184.528809,401,130.264618
-5405.711314,401,135.621786
-5397.698822,401,141.122454
-6037.942008,401,146.492667
-6299.417777,401,151.87382
-6045.481803,401,157.236443
-6102.953342,401,162.625112
-6135.467468,401,168.008163
-6255.913849,401,173.377495
-6258.33409,401,178.734948
-6358.522741,401,184.289399
-6249.963407,401,189.73051
-6222.802998,401,195.132583
-6519.383532,401,200.55828
-5431.784744,401,205.915677
-6551.812419,401,211.2846
-6481.588708,401,216.690428
-6471.955188,401,222.081329
-6314.36964,401,227.464111
-6052.648187,401,232.806717
-5551.277502,401,238.189482
-6101.326459,401,243.575527
-6275.325239,401,248.939745
-6066.943267,401,254.516066
-6280.283443,401,259.863307
-5443.090811,401,265.23404
-6324.337118,401,270.584959
-5983.298865,401,275.964544
-6102.449174,401,281.32061
-6311.652195,401,286.70716
-6171.207145,401,292.214681
-6211.610198,401,297.581289
-6348.815051,401,302.941952
-5992.093909,401,308.326897
-6296.065727,401,313.691723
-5766.828766,401,319.067484
-5545.976233,401,324.447874
-5816.874274,401,329.836761
-5988.641059,401,335.221181
-6390.650042,401,340.581085
-5298.44633,401,345.971226
-6148.677739,401,351.341969
-5974.128027,401,356.721767
-5904.658852,401,362.218626
-5877.823898,401,367.620159
-5972.349184,401,372.982619
-6222.657325,401,378.36524
-5487.791329,401,383.746222
-5895.221759,401,389.139776
-5232.288635,401,394.509519
-5108.301936,401,400.037393
-5700.802998,401,405.4333
-5789.278422,401,410.822866
-4924.642997,401,416.18502
-5945.971413,401,421.587716
-6100.64679,401,426.962937
-5002.267522,401,432.342812
-4933.987649,401,437.733508
-5233.169338,401,443.223368
-5155.18483,401,448.612978
-4742.978728,401,454.090458
-5381.003632,401,459.945662
-5615.639391,401,465.556732
-4817.449252,401,471.074322
-5089.289618,401,476.495939
-4347.335615,401,481.874438
-5573.617685,401,487.282673
-4357.626025,401,492.653294
-4937.49848,401,498.070126
-4703.070821,401,503.431718
-5926.613869,401,508.824111
-4347.154491,401,514.21349
-3871.299712,401,519.571697
-3423.272353,401,524.964341
-3582.476395,401,530.34528
-5766.716633,401,535.732676
-4475.679082,401,541.611921
-4256.169873,401,547.032184
-4928.601342,401,552.362321
-2727.133997,401,557.774465
-3826.094024,401,563.147708
-4010.172919,401,568.534251
-3673.533996,401,573.899493
-5119.930745,401,579.373317
-2917.972207,401,584.771453
-4638.133591,401,590.149041
-3913.278036,401,595.523109
-5118.624452,401,600.976888
-3290.718007,401,606.462461
-3789.150501,401,611.835849
-2764.816757,401,617.21194
-3575.03332,401,622.606587
-2908.398716,401,627.992457
-3699.93177,401,633.371367
-2963.371803,401,638.764153
-3960.415673,401,644.130945
-3656.744973,401,649.491154
-3426.456771,401,654.891105
-3816.845914,401,660.378476
-3178.134035,401,665.754426
-2107.10845,401,671.185868
-4223.912573,401,676.566891
-5491.728396,401,681.943714
-4691.135401,401,687.299501
-3352.947496,401,692.654553
-3726.145548,401,698.01984
-2858.147868,401,703.404111
-4826.215003,401,708.790803
-3066.999548,401,714.135515
-2437.591841,401,719.504651
-4102.074389,401,724.860021
-3244.129884,401,730.285127
-3766.94098,401,735.663777
-3201.483463,401,741.099159
-3794.067724,401,746.475421
-2971.460599,401,751.862814
-3471.917433,401,757.278397
-4291.536615,401,762.716595
-4051.348984,401,768.091624
-4499.838377,401,773.486946
-2995.811942,401,778.855329
-3529.256277,401,784.217608
-4123.161064,401,789.62484
-2276.317682,401,794.975878
-3958.051577,401,800.355534
-3171.68863,401,805.713462
-3948.541644,401,811.107975
-3407.495594,401,816.500716
-3596.375708,401,821.874746
-3068.552973,401,827.250809
-2181.264338,401,832.633925
-4315.605613,401,838.024092
-4090.892107,401,843.430277
-4086.683937,401,848.789759
-3851.655383,401,854.173487
-3154.075921,401,859.545856
-3686.513295,401,865.09233
-2667.689774,401,870.513746
-3377.840497,401,875.870461
-3416.570517,401,881.258318
-3474.648433,401,886.665424
-3015.763778,401,892.021987
-2759.622016,401,897.426322
-3793.567052,401,902.790727
-4368.720021,401,908.185585
-5110.441427,401,913.552551
-3001.050151,401,918.939631
-3398.814373,401,924.329083
-4218.116704,401,929.679868
-4401.122465,401,935.04384
-4427.141193,401,940.426528
-3089.216574,401,945.784981
-3557.623003,401,951.196036
-3617.627021,401,956.567338
-4014.668765,401,961.943657
-3653.688244,401,967.323226
-3774.453571,401,972.697396
-3579.742135,401,978.268444
-2344.806764,401,983.618678
-2880.316712,401,989.000958
-4227.081103,401,994.388292
-3603.565337,401,999.775806
-3747.87599,401,1005.17792
-2976.452359,401,1010.549879
-3457.320601,401,1015.988399
-3449.412791,401,1021.367042
-3876.28075,401,1026.750364
-2286.610971,401,1032.163473
-3435.44403,401,1037.525457
-3671.766088,401,1043.024251
-3546.038082,401,1048.39969
-3420.036858,401,1053.788811
-3634.759089,401,1059.170661
-3222.188651,401,1064.547256
-2053.653821,401,1069.92927
-3398.108976,401,1075.325953
-3344.986382,401,1080.76983
-3837.891685,401,1086.180076
-4209.491951,401,1091.53943
-3862.74676,401,1096.91142
-4971.651109,401,1102.294465
-3528.984587,401,1107.685918
-3259.094435,401,1113.069606
-3527.542214,401,1118.670328
-3322.66385,401,1124.0448
-2569.715811,401,1129.422627
-3150.360602,401,1134.832148
-3659.897596,401,1140.252592
-3238.326552,401,1145.617561
-4165.2791,401,1150.987053
-3923.961761,401,1156.368977
-3968.521767,401,1161.743092
-3690.282175,401,1167.124834
-3924.890274,401,1172.483601
-4043.260379,401,1177.909847
-3893.008103,401,1183.255243
-3676.38516,401,1188.64375
-3483.491854,401,1194.044397
-2843.510139,401,1199.438922
-4165.330152,401,1204.818641
-2870.906967,401,1210.189188
-3644.436701,401,1215.562207
-4328.753743,401,1220.957981
-3352.327088,401,1226.341847
-3273.805938,401,1231.698094
-3758.187644,401,1237.069751
-2218.032597,401,1242.468864
-3608.714081,401,1247.861396
-3899.573407,401,1253.229313
-3488.960013,401,1258.587689
