#{"t_start": 1620345268.7258565, "env_id": null}
r,l,t
-6697.631113,401,7.522594
-6806.18754,401,12.186658
-6782.028103,401,16.899249
-6897.465833,401,21.637363
-6584.630565,401,26.428478
-6934.235838,401,32.543787
-6863.635295,401,38.113042
-6691.088725,401,43.546158
-6426.497259,401,49.058268
-6506.162779,401,54.411206
-6625.659756,401,60.010005
-6378.62768,401,65.381731
-6382.719877,401,70.758609
-6770.38369,401,76.278588
-6674.736592,401,81.642874
-6698.113424,401,86.996566
-6599.540945,401,92.352969
-6567.81127,401,97.737048
-6354.316382,401,103.11918
-6400.753909,401,108.489048
-6004.382372,401,113.872386
-6062.466346,401,119.23637
-6546.330269,401,124.596598
-6258.486327,401,129.979009
-6258.662459,401,135.336111
-6255.469816,401,140.832487
-6400.006023,401,146.202812
-6313.835939,401,151.582756
-6171.218901,401,156.942605
-6248.906834,401,162.335266
-6259.29578,401,167.718096
-6420.451798,401,173.091587
-5946.217053,401,178.444258
-6147.398797,401,183.999167
-6485.891527,401,189.440659
-6294.371237,401,194.84235
-6360.11314,401,200.268394
-6524.212587,401,205.629657
-6161.722133,401,210.994445
-6443.580418,401,216.399901
-6178.888335,401,221.787743
-6522.15973,401,227.174351
-6310.169357,401,232.521275
-6308.605437,401,237.899807
-6550.100988,401,243.284757
-6342.976816,401,248.64558
-5927.053728,401,254.225751
-6508.399305,401,259.572612
-6318.014127,401,264.943281
-6383.687753,401,270.290847
-6304.104571,401,275.674443
-6022.176771,401,281.035418
-6354.165365,401,286.417297
-6094.825168,401,291.924735
-6402.267893,401,297.290658
-6503.797835,401,302.647776
-6072.002141,401,308.035503
-6062.714901,401,313.402947
-5716.657666,401,318.773982
-6205.67942,401,324.162225
-5640.576355,401,329.548599
-5899.82692,401,334.93133
-6254.210658,401,340.291239
-6181.638422,401,345.686164
-6327.553838,401,351.056506
-5888.320043,401,356.431573
-6065.392164,401,361.926486
-5572.16227,401,367.329818
-5777.272171,401,372.690778
-5681.358172,401,378.076449
-5528.112473,401,383.459908
-6194.756016,401,388.850349
-6008.266432,401,394.219695
-5861.390069,401,399.747561
-5456.226284,401,405.143251
-5497.719867,401,410.537615
-5391.334489,401,415.895507
-6273.807676,401,421.2981
-6157.439449,401,426.673627
-5111.082756,401,432.048977
-4620.420615,401,437.444065
-4521.226932,401,442.93343
-5456.767533,401,448.322933
-5536.699769,401,453.80529
-5190.412403,401,459.660037
-4455.326559,401,465.267174
-5237.711996,401,470.78867
-5262.574682,401,476.211303
-4804.641002,401,481.58213
-4141.906212,401,486.98843
-4487.066672,401,492.363013
-4361.531991,401,497.780674
-3871.657575,401,503.142143
-4276.914906,401,508.53418
-5928.456577,401,513.925629
-5281.542145,401,519.285878
-3036.370187,401,524.675407
-4451.304139,401,530.055011
-6246.548552,401,535.446511
-4820.148128,401,541.323507
-3829.639294,401,546.746987
-4637.782388,401,552.072695
-3287.717589,401,557.483907
-3793.362626,401,562.861904
-5110.635071,401,568.244106
-5161.886276,401,573.613587
-3623.117248,401,579.083466
-3111.2232,401,584.486976
-4544.390112,401,589.859317
-3936.360533,401,595.233713
-3310.972231,401,600.686348
-3496.686697,401,606.175672
-5551.887574,401,611.546137
-3179.060189,401,616.921897
-3596.844199,401,622.317106
-3532.283374,401,627.707128
-3127.334398,401,633.08167
-3144.268159,401,638.474606
-3655.844438,401,643.839916
-5586.956171,401,649.204553
-3585.153416,401,654.601189
-3618.265377,401,660.088761
-3540.859705,401,665.465701
-3187.441409,401,670.895813
-2823.909089,401,676.276837
-2954.144996,401,681.654324
-3722.724096,401,687.009321
-2658.123876,401,692.36863
-2811.083465,401,697.730046
-3500.806157,401,703.109962
-3759.936061,401,708.504781
-3495.412279,401,713.849598
-2165.259158,401,719.210919
-3033.914892,401,724.574799
-5596.957869,401,729.996141
-3700.038247,401,735.374025
-3358.965319,401,740.805402
-3784.134763,401,746.186084
-3024.393162,401,751.573524
-3708.754666,401,756.992207
-4332.617406,401,762.422916
-4358.973886,401,767.80094
-3083.23752,401,773.196402
-1582.850775,401,778.565524
-4163.458832,401,783.927651
-3725.25708,401,789.335136
-3268.34429,401,794.681911
-3651.124455,401,800.064569
-2690.187334,401,805.424403
-3855.114379,401,810.818378
-3497.896084,401,816.211189
-5179.212712,401,821.589172
-3889.85818,401,826.960766
-3346.468058,401,832.344198
-3978.392786,401,837.729769
-3864.3298,401,843.141129
-3946.700755,401,848.498827
-3096.5557,401,853.882982
-3631.11877,401,859.256435
-3772.074606,401,864.8027
-3459.377496,401,870.223809
-2933.908004,401,875.584527
-3651.414438,401,880.968531
-3802.613253,401,886.374964
-3730.109361,401,891.735333
-3056.220716,401,897.136472
-3995.643389,401,902.500652
-4084.475052,401,907.891941
-4331.287992,401,913.2649
-3893.468143,401,918.653774
-3484.674261,401,924.043569
-5084.178383,401,929.389654
-3906.681546,401,934.758201
-4272.950798,401,940.135998
-2258.602776,401,945.495259
-3384.085189,401,950.906358
-3275.515495,401,956.277487
-3226.42232,401,961.653387
-2971.284172,401,967.028416
-3718.418889,401,972.411195
-3482.660458,401,977.978593
-3231.403251,401,983.328281
-3264.560535,401,988.710807
-4012.58565,401,994.098762
-2990.397727,401,999.481822
-3060.978183,401,1004.888202
-3440.082383,401,1010.260492
-3308.878372,401,1015.698182
-5374.732346,401,1021.073038
-3868.75684,401,1026.459706
-2854.503377,401,1031.875301
-3394.355362,401,1037.235609
-4834.476311,401,1042.732841
-5221.977173,401,1048.110239
-3445.607833,401,1053.495428
-2982.977474,401,1058.883034
-3719.642763,401,1064.256677
-3221.443782,401,1069.639228
-4206.801287,401,1075.036181
-3367.61014,401,1080.47948
-2916.361656,401,1085.890226
-4111.517268,401,1091.249314
-3937.877319,401,1096.624356
-3977.472095,401,1102.00915
-3220.139135,401,1107.391966
-3558.835994,401,1112.779615
-3397.520159,401,1118.376319
-3585.313083,401,1123.757048
-3319.423823,401,1129.134839
-3435.672161,401,1134.5425
-2578.297269,401,1139.964133
-3646.169557,401,1145.327754
-3615.961205,401,1150.69787
-3767.343898,401,1156.079148
-3414.963679,401,1161.457111
-3296.14312,401,1166.834787
-3801.787202,401,1172.19581
-4011.069028,401,1177.624783
-3748.161288,401,1182.969286
-3892.867634,401,1188.355577
-2826.069348,401,1193.758699
-3398.494961,401,1199.149072
-3920.741254,401,1204.529374
-3456.361563,401,1209.898974
-3965.112628,401,1215.267614
-4454.777028,401,1220.66866
-3636.16212,401,1226.047922
-3478.607338,401,1231.406839
-3719.059863,401,1236.779764
-3305.479083,401,1242.175062
-3433.558725,401,1247.571657
-3815.008236,401,1252.939266
-3689.044058,401,1258.297838
