#{"t_start": 1620345268.8124158, "env_id": null}
r,l,t
-6863.784503,401,7.435709
-6644.589479,401,12.099586
-6710.596834,401,16.810172
-6664.574184,401,21.546421
-6563.745345,401,26.337512
-6817.720467,401,32.461224
-6781.024298,401,38.021629
-6830.640439,401,43.457807
-6611.833512,401,48.966636
-6589.688663,401,54.320099
-6733.214734,401,59.918891
-6594.066453,401,65.290524
-6788.202549,401,70.667749
-6694.481253,401,76.187742
-6334.790841,401,81.552438
-6548.658041,401,86.905295
-6237.439451,401,92.26138
-6458.946299,401,97.64569
-6324.674948,401,103.028228
-6300.993455,401,108.397946
-6198.106918,401,113.78086
-6009.435234,401,119.147198
-6105.520954,401,124.50535
-6324.110072,401,129.890749
-6378.581588,401,135.245138
-6199.98485,401,140.741569
-6234.085142,401,146.11589
-5959.616147,401,151.492079
-5946.573963,401,156.859837
-6472.259043,401,162.244174
-6330.879787,401,167.631671
-6035.312408,401,173.004822
-6542.14432,401,178.35575
-6506.739841,401,183.908483
-6262.9962,401,189.349704
-6275.769461,401,194.751422
-6264.272099,401,200.177267
-6269.663821,401,205.538918
-6279.190084,401,210.903666
-6355.307087,401,216.30909
-6343.135027,401,221.700778
-6040.424412,401,227.087284
-6213.767678,401,232.433477
-6242.229383,401,237.808678
-6209.971,401,243.193863
-6210.328284,401,248.558532
-6248.480067,401,254.134981
-6337.707314,401,259.481897
-6389.036576,401,264.852175
-5934.002144,401,270.203857
-6448.004817,401,275.583972
-6273.940026,401,280.943585
-6097.895107,401,286.326485
-6302.09075,401,291.833655
-6237.713149,401,297.204098
-6294.428501,401,302.565072
-5926.562356,401,307.950865
-6135.714142,401,313.311081
-6204.100934,401,318.68692
-6123.322934,401,324.070897
-6033.16328,401,329.457166
-6144.068641,401,334.839927
-5953.423302,401,340.200374
-5605.229227,401,345.59464
-6161.929149,401,350.969564
-5836.745668,401,356.340906
-5903.399641,401,361.842677
-6337.263627,401,367.238861
-5848.483036,401,372.599814
-5838.777575,401,377.984403
-4950.274159,401,383.369144
