#{"t_start": 1620345268.3200934, "env_id": null}
r,l,t
-6608.526579,401,7.928543
-6777.53708,401,12.588679
-6668.405192,401,17.304707
-6500.647352,401,22.042519
-6897.135586,401,26.834026
-6777.452361,401,32.953459
-6748.887537,401,38.518232
-6827.281867,401,43.95045
-6492.935071,401,49.463931
-6789.702441,401,54.8171
-6786.106862,401,60.415703
-6750.422867,401,65.788004
-6815.225644,401,71.164428
-6844.488404,401,76.684844
-6215.57742,401,82.049103
-6396.977182,401,87.398497
-6631.735194,401,92.75428
-6342.847053,401,98.142516
-6308.393272,401,103.525746
-6003.937479,401,108.894805
-6335.89597,401,114.277864
-6326.329452,401,119.6416
-6395.66337,401,125.001972
-5943.930102,401,130.384968
-6443.972194,401,135.741553
-6359.361721,401,141.238424
-6180.96206,401,146.604535
-6349.628706,401,151.98902
-6112.215031,401,157.352226
-6378.201491,401,162.740076
-6335.46205,401,168.123786
-6075.969793,401,173.498251
-6521.883406,401,178.845749
-6627.566902,401,184.406184
-6270.735212,401,189.846364
-6026.767069,401,195.244387
-6333.399861,401,200.674193
-6052.042582,401,206.031385
-5790.963628,401,211.400405
-5960.378679,401,216.805835
-6027.109347,401,222.197633
-6385.467746,401,227.580114
-6408.9575,401,232.927038
-6031.650437,401,238.301397
-6189.755029,401,243.690795
-6276.512052,401,249.055271
-6462.169449,401,254.627801
-6099.377036,401,259.976661
-6256.421237,401,265.345477
-6379.148577,401,270.700639
-6434.42634,401,276.080655
-6079.860848,401,281.440356
-6445.652592,401,286.823518
-6100.347715,401,292.330498
-5632.471163,401,297.692915
-5846.210527,401,303.053326
-6352.487599,401,308.443772
-5914.496497,401,313.807935
-6175.797676,401,319.179815
-6114.117808,401,324.567686
-5855.430466,401,329.954362
-6363.441152,401,335.337193
-6255.173914,401,340.698637
-5750.721613,401,346.091549
-6207.108447,401,351.462082
-5579.765125,401,356.837525
-6483.593323,401,362.335893
-5909.488967,401,367.73212
-6298.17821,401,373.096994
-6505.207981,401,378.477706
-5817.260489,401,383.866577
-5157.183435,401,389.256877
-5558.718264,401,394.621646
-5825.061072,401,400.153387
-4268.649281,401,405.544657
-5293.453589,401,410.938987
-5797.259965,401,416.305468
-6293.613019,401,421.70053
-5799.038647,401,427.075084
-5620.260311,401,432.45474
-5364.310976,401,437.845114
-4045.285974,401,443.335046
-3203.219037,401,448.72459
-5951.804086,401,454.202587
-5825.206085,401,460.065671
-5634.451452,401,465.672479
-4929.254119,401,471.195098
-5423.594648,401,476.612296
-5238.556158,401,481.991669
-4541.046863,401,487.394019
-5787.362569,401,492.769173
-4260.834951,401,498.186321
-5086.596901,401,503.547295
-5890.553636,401,508.940427
-6032.696589,401,514.331173
-4226.657864,401,519.691536
-5663.324425,401,525.080892
-5053.734995,401,530.464931
-3777.943793,401,535.85268
-3883.393546,401,541.728835
-5699.707141,401,547.152741
-4661.928365,401,552.478458
-3945.19162,401,557.88941
-4649.186531,401,563.268939
-4043.113284,401,568.650492
-4491.144013,401,574.019907
-4473.698102,401,579.488796
-2782.617253,401,584.890265
-4114.780592,401,590.261305
-4068.096558,401,595.643614
-4474.772992,401,601.092734
-4174.010153,401,606.582392
-3530.041179,401,611.952739
-3410.133703,401,617.328711
-3344.074052,401,622.723516
-2688.786265,401,628.112409
-3796.599699,401,633.487433
-3412.800323,401,638.876072
-3796.157922,401,644.245518
-3352.693287,401,649.610426
-3714.357101,401,655.006952
-3887.325228,401,660.490284
-3467.32934,401,665.871582
-2961.220301,401,671.301311
-3647.786906,401,676.683315
-2732.746044,401,682.059857
-3767.163159,401,687.414951
-3164.528082,401,692.774257
-3052.646018,401,698.139797
-3365.18374,401,703.519638
-3778.509773,401,708.906871
-3441.160191,401,714.25548
-3530.891242,401,719.620564
-3994.23827,401,724.980464
-3264.204283,401,730.40104
-4313.433497,401,735.779912
-3453.619081,401,741.211165
-2561.954926,401,746.59142
-2635.113637,401,751.978316
-4341.423717,401,757.398921
-4011.286854,401,762.832873
-4421.810526,401,768.206581
-4667.225621,401,773.602858
-4105.847531,401,778.972209
-4858.740746,401,784.337283
-6281.938768,401,789.736708
-2703.874411,401,795.087814
-3909.88027,401,800.470631
-2958.996649,401,805.829635
-4365.902579,401,811.220124
-5686.566702,401,816.612555
-3564.531444,401,821.995053
-3150.099596,401,827.366991
-3106.958665,401,832.754044
-4250.403008,401,838.139584
-4183.843012,401,843.541527
-3777.018009,401,848.9014
-3182.430838,401,854.288869
-3376.416768,401,859.661567
-3286.427816,401,865.206471
-1520.973375,401,870.625523
-1750.511574,401,875.990733
-3596.540084,401,881.374269
-3628.524197,401,886.776571
-4290.157372,401,892.141631
-2020.872175,401,897.538468
-3819.829061,401,902.906957
-4075.338662,401,908.297636
-3742.305039,401,913.670663
-4339.903384,401,919.059481
-3741.851073,401,924.445242
-5249.551794,401,929.795417
-4074.683458,401,935.164174
-3267.10368,401,940.541489
-4111.941413,401,945.905791
-3707.209954,401,951.311883
-2030.841102,401,956.678945
-4189.737778,401,962.059405
-4087.901182,401,967.438219
-3513.311439,401,972.817561
-3616.059211,401,978.384999
-3468.054687,401,983.73432
-4404.682211,401,989.112996
-4221.912336,401,994.504525
-3804.821097,401,999.892234
-3267.906304,401,1005.295381
-2626.787015,401,1010.662008
-2998.625883,401,1016.100646
-3252.679726,401,1021.483092
-5071.711552,401,1026.865479
-4157.639279,401,1032.284801
-2374.479774,401,1037.641661
-3667.355999,401,1043.138604
-2078.003755,401,1048.515736
-3920.676193,401,1053.900824
-3398.734847,401,1059.291227
-3573.964508,401,1064.662387
-2035.531121,401,1070.044763
-3322.20778,401,1075.4419
-3527.322899,401,1080.8855
-3003.263226,401,1086.296668
-4382.046775,401,1091.651273
-4202.752271,401,1097.029742
-4007.036351,401,1102.414622
-3466.833253,401,1107.801639
-3810.170322,401,1113.189293
-4313.261518,401,1118.786239
-2182.681503,401,1124.164628
-2865.919738,401,1129.541563
-3672.592873,401,1134.94801
-3557.134962,401,1140.365833
-3567.572336,401,1145.733765
-2593.740397,401,1151.103048
-3683.295255,401,1156.484566
-4386.504986,401,1161.862945
-3367.662696,401,1167.240533
-3818.560775,401,1172.599157
-3324.688627,401,1178.030897
-3623.080994,401,1183.374852
-3700.648788,401,1188.761905
-3147.438806,401,1194.163781
-3506.882642,401,1199.551293
-3753.186499,401,1204.934561
-2822.290312,401,1210.304684
-4431.669574,401,1215.677768
-3709.52327,401,1221.074131
-3496.140697,401,1226.45748
-3727.391747,401,1231.8141
-3736.715473,401,1237.181632
-2510.60753,401,1242.585668
-3631.44096,401,1247.97742
-3848.549145,401,1253.345185
-3329.404752,401,1258.703341
-3763.600735,401,1264.133233
-3797.064701,401,1269.469204
-2474.707533,401,1274.870958
-3531.843521,401,1280.259836
-3953.909994,401,1285.631725
-2968.446114,401,1291.010103
-3426.861213,401,1296.377227
-4169.327664,401,1301.792254
-3197.541407,401,1307.187322
-3076.757783,401,1312.545761
-1788.716493,401,1317.910052
-1968.201592,401,1323.467843
-2092.378044,401,1328.984733
-2927.110275,401,1334.387659
-3341.874266,401,1339.847221
-3809.041803,401,1345.238907
-3199.896593,401,1350.611249
-2842.523134,401,1356.009326
-6322.984354,401,1361.390489
-2939.254701,401,1366.738841
-3690.638915,401,1372.12914
-3687.138155,401,1377.489557
-3004.186811,401,1382.860085
-1810.489929,401,1388.22115
-3205.553735,401,1393.921782
-3317.090336,401,1399.253212
-3845.422836,401,1404.623953
-4309.803186,401,1410.077158
-2031.077798,401,1415.444942
-2792.937036,401,1420.796546
-1808.728832,401,1426.174373
-2271.953315,401,1431.563369
-2026.064864,401,1436.990163
-3330.608509,401,1442.369561
-3064.368585,401,1447.733912
-2990.611909,401,1453.113839
-2207.909745,401,1458.481302
-3167.044522,401,1463.862471
-2156.094274,401,1469.217356
-3300.0127,401,1474.789952
-3161.157157,401,1480.170774
-1459.546554,401,1485.555987
-2970.696299,401,1490.927163
-3539.810268,401,1496.28848
-2632.66317,401,1501.69065
-896.986568,401,1507.041814
-2959.898744,401,1512.40697
-1504.906524,401,1517.791606
-1564.923586,401,1523.170968
-3450.328874,401,1528.512007
-2347.44492,401,1533.873377
-3938.809376,401,1539.211805
-2844.818921,401,1544.632127
-1450.930987,401,1549.983467
