#{"t_start": 1620345268.4941087, "env_id": null}
r,l,t
-6692.723426,401,7.754008
-6942.980554,401,12.414276
-6532.626417,401,17.127064
-6636.038341,401,21.864823
-6868.733685,401,26.65588
-6540.673994,401,32.780409
-6561.278065,401,38.340022
-6775.804228,401,43.771849
-6304.436833,401,49.290162
-6664.25906,401,54.638424
-6937.595799,401,60.237198
-6672.7486,401,65.60904
-6505.034938,401,70.986056
-6570.373057,401,76.505982
-6383.614282,401,81.870665
-6092.019808,401,87.223764
-6605.88488,401,92.583877
-6358.332032,401,97.96395
-6471.538207,401,103.351034
-6419.598423,401,108.721157
-6052.875335,401,114.10461
-6261.339915,401,119.463041
-6538.249349,401,124.828294
-5888.931137,401,130.20639
-6376.396074,401,135.563534
-5922.836503,401,141.059915
-6301.445422,401,146.430054
-6580.825654,401,151.814643
-6224.442691,401,157.178261
-6399.557669,401,162.562484
-6213.561592,401,167.945595
-6162.552117,401,173.318847
-6465.56974,401,178.67561
-6395.633137,401,184.22679
-6329.451661,401,189.673223
-6506.687158,401,195.069945
-6219.155493,401,200.495574
-6285.831195,401,205.857163
-6358.836709,401,211.222243
-6183.173107,401,216.627246
-5806.881943,401,222.019181
-6253.01203,401,227.401635
-6220.337075,401,232.748514
-6012.119526,401,238.131208
-6011.578006,401,243.516817
-6061.040128,401,248.880558
-6305.915316,401,254.45336
-6316.018985,401,259.800128
-6087.80345,401,265.170575
-6203.795648,401,270.527635
-6323.113392,401,275.901441
-5956.016579,401,281.262065
-6318.472906,401,286.644713
-6141.331012,401,292.156434
-6262.708831,401,297.518265
-6294.819645,401,302.883387
-6133.429337,401,308.267533
-6061.662847,401,313.630691
-6176.758013,401,319.00545
-6112.180989,401,324.393475
-5792.647802,401,329.775529
-5999.988387,401,335.158235
-5822.735407,401,340.518724
-4890.553934,401,345.917453
-6053.357962,401,351.283612
-6066.441216,401,356.65918
-5901.32591,401,362.156549
-6081.421429,401,367.557174
-5783.707136,401,372.918276
-6041.88894,401,378.302822
-6100.497501,401,383.690509
-5991.896687,401,389.07775
-5217.294875,401,394.446962
-5942.008988,401,399.979898
-6107.241597,401,405.376767
-4773.783655,401,410.76871
-5666.081003,401,416.12659
-4941.120494,401,421.525307
-5894.882167,401,426.900716
-5995.18578,401,432.284409
-4431.245797,401,437.675074
-5474.133931,401,443.160707
-4995.819043,401,448.550234
-4611.01198,401,454.02768
-5836.497269,401,459.887357
-4924.905823,401,465.49863
-3595.536414,401,471.015719
-4313.822408,401,476.437649
-4932.511737,401,481.813523
-5027.29789,401,487.219822
-4442.177499,401,492.590064
-4704.370724,401,498.007531
-6468.316673,401,503.369368
-5969.820767,401,508.766331
-5513.218345,401,514.152732
-5882.783692,401,519.513318
-5644.096448,401,524.902117
-3669.163068,401,530.282706
-5015.540937,401,535.674333
-4319.293987,401,541.550503
-4141.358343,401,546.973765
-4479.257537,401,552.299879
-4848.143797,401,557.719486
-4043.443346,401,563.093756
-5048.565496,401,568.471479
-2227.551545,401,573.840751
-4699.880555,401,579.310615
-2823.765782,401,584.712689
-4392.754797,401,590.086643
-5663.640977,401,595.469132
-4046.252645,401,600.919129
-3969.209138,401,606.403821
-3735.551445,401,611.772981
-3340.389227,401,617.153701
-4313.486665,401,622.544184
-3276.919385,401,627.93405
-3117.986781,401,633.313745
-2176.339375,401,638.701559
-3399.74936,401,644.06717
-3738.461103,401,649.431825
-2975.397797,401,654.828481
-3557.638135,401,660.315796
-2726.382684,401,665.693079
-3507.746742,401,671.122913
-3629.888771,401,676.504555
-2862.426487,401,681.880834
-3978.879679,401,687.236562
-5233.073029,401,692.595743
-3617.999672,401,697.961458
-4218.739018,401,703.341048
-3496.967815,401,708.73244
-3599.825079,401,714.077044
-4091.432391,401,719.44206
-3581.664676,401,724.801751
-4567.225808,401,730.222548
-3776.083342,401,735.601547
-3664.47652,401,741.035743
-3828.546363,401,746.412973
-3701.762681,401,751.800422
-3394.314269,401,757.224338
-4070.625466,401,762.654021
-4908.810772,401,768.028088
-6020.394245,401,773.423871
-3754.730284,401,778.792698
-4633.185574,401,784.163268
-3817.454807,401,789.562228
-1800.191535,401,794.91309
-2849.870311,401,800.292051
-1965.683018,401,805.651236
-4782.860154,401,811.045521
-4266.893515,401,816.43772
-3998.836382,401,821.820688
-3415.948545,401,827.188164
-2802.48647,401,832.575758
-4145.843591,401,837.961116
-4482.912284,401,843.367285
-3520.57682,401,848.727055
