#{"t_start": 1620345268.8009331, "env_id": null}
r,l,t
-6731.154222,401,7.447183
-6794.662668,401,12.107752
-6568.433024,401,16.820358
-6345.085051,401,21.557998
-6845.278784,401,26.34918
-6700.189475,401,32.47004
-6260.136672,401,38.033198
-6997.916815,401,43.464998
-6522.184388,401,48.978499
-6728.754952,401,54.331903
-6558.316436,401,59.930197
-6908.544535,401,65.302216
-6390.610131,401,70.679131
-6592.494495,401,76.199446
-6281.708878,401,81.567029
-6410.397067,401,86.921243
-6188.965414,401,92.272944
-6063.428159,401,97.657262
-6459.921117,401,103.039719
-5948.354274,401,108.409499
-6360.685431,401,113.792554
-6135.242833,401,119.156505
-6158.276706,401,124.517028
-6228.026206,401,129.899565
-6362.877175,401,135.256593
-6033.605771,401,140.75309
-6208.357394,401,146.12323
-6290.822128,401,151.503812
-6368.202321,401,156.867057
-6181.861386,401,162.260067
-6184.956752,401,167.638714
-6157.290202,401,173.012158
-6420.750535,401,178.364759
-6396.238542,401,183.919819
-6179.436623,401,189.361313
-6418.155083,401,194.767457
-6459.472709,401,200.188685
-6246.18297,401,205.550322
-5824.940778,401,210.915291
-6306.704433,401,216.325467
-6330.928799,401,221.712261
-6133.841164,401,227.094852
-6342.085638,401,232.44169
-6205.50551,401,237.821565
-6451.230505,401,243.209928
-6509.477162,401,248.570366
-6122.216373,401,254.146906
-6447.208917,401,259.493304
-6325.339274,401,264.86397
-6146.860835,401,270.215508
-6197.830568,401,275.594764
-6039.014858,401,280.958172
-6413.355896,401,286.338226
-6041.027549,401,291.845228
-6210.073056,401,297.211486
-6056.002298,401,302.576918
-6001.509143,401,307.958349
-6378.795399,401,313.327329
-6322.979428,401,318.698538
-5701.119189,401,324.082631
-6062.343385,401,329.468758
-6241.963265,401,334.85156
-6162.170636,401,340.212074
-6002.301872,401,345.606162
-5915.245093,401,350.978507
-6164.837807,401,356.352388
-5485.826498,401,361.850093
-5685.051035,401,367.254956
-5479.104719,401,372.611397
-5189.832386,401,378.000454
-5570.346965,401,383.380812
-5233.235079,401,388.770904
-5382.396631,401,394.140376
-5920.409467,401,399.667909
-6051.292706,401,405.063513
-6192.360477,401,410.462248
-4904.66663,401,415.824241
-4802.609227,401,421.222546
-5340.556933,401,426.593892
-5671.654566,401,431.973442
-5576.278624,401,437.364047
-5167.852524,401,442.853883
-4206.644584,401,448.243401
-5282.942031,401,453.730157
-6282.700797,401,459.584807
-3641.425731,401,465.187816
-5682.04947,401,470.708786
-5180.715843,401,476.130825
-5316.006627,401,481.506747
-3219.575231,401,486.913093
-4304.69473,401,492.288315
-4987.613427,401,497.700675
-4243.680989,401,503.067117
-4734.194349,401,508.455003
-5150.565484,401,513.845908
-5134.59921,401,519.206493
-4229.445321,401,524.595453
-4443.694622,401,529.975796
-3922.833902,401,535.367612
-4140.895436,401,541.243703
-3801.0467,401,546.666913
-4914.161888,401,551.993085
-4645.871752,401,557.413589
-4555.941741,401,562.787084
-3628.291931,401,568.164464
-1937.058042,401,573.534001
-3836.24967,401,579.00432
-2745.118283,401,584.410919
-4097.076048,401,589.779905
-4481.137595,401,595.157954
-4829.081258,401,600.6119
-3516.088314,401,606.097064
-4464.960609,401,611.466367
-3344.823872,401,616.842391
-3409.837574,401,622.237664
-3223.580743,401,627.631855
-5153.518193,401,633.002211
-2954.452976,401,638.394776
-3829.034452,401,643.760369
-3982.477103,401,649.124854
-3484.834938,401,654.521796
-2841.638341,401,660.009133
-3865.430551,401,665.391483
-3142.418307,401,670.816142
-3880.549847,401,676.197841
-2827.785977,401,681.574089
-3950.378076,401,686.930048
-2262.568995,401,692.289054
-3787.845325,401,697.654489
-3408.884271,401,703.034064
-3714.057887,401,708.425604
-2888.991281,401,713.770219
-3306.059077,401,719.139174
-2918.684597,401,724.494906
-3378.314346,401,729.916008
-3365.218738,401,735.294722
-3067.251574,401,740.732643
-3470.980731,401,746.106324
-2973.29858,401,751.49349
-3341.667429,401,756.913254
-3963.67477,401,762.347465
-3251.505635,401,767.721251
-5477.950072,401,773.117203
-3830.813358,401,778.487053
-4772.88739,401,783.852194
-3993.64558,401,789.259541
-2566.005814,401,794.606429
-4551.796072,401,799.985219
-3407.577148,401,805.344297
-4111.858786,401,810.738744
-3913.725675,401,816.130881
-5122.921955,401,821.509638
-3728.519663,401,826.885709
-1501.812231,401,832.268934
-3795.1992,401,837.654398
-5606.164953,401,843.060609
-3141.4261,401,848.420435
-3311.845546,401,853.807979
-3787.729038,401,859.176859
-3107.102611,401,864.727923
-3428.937002,401,870.144318
-2832.908704,401,875.505243
-3668.111198,401,880.888957
-3008.052233,401,886.295345
-3094.602228,401,891.656075
-3385.457234,401,897.056817
-4199.76177,401,902.421675
-4275.266944,401,907.816527
-4370.552535,401,913.185556
-3338.644539,401,918.574318
-3667.760449,401,923.968539
-4674.610606,401,929.310266
-4168.877582,401,934.678613
-3655.504898,401,940.056487
-3206.18694,401,945.419734
