#{"t_start": 1620345268.6270003, "env_id": null}
r,l,t
-6631.012424,401,7.625158
-6502.552364,401,12.285514
-6856.330722,401,16.994711
-6654.772972,401,21.732338
-6713.332207,401,26.526759
-6901.504049,401,32.64693
-6901.577459,401,38.207408
-6554.190407,401,43.643705
-6811.067067,401,49.157024
-6563.31054,401,54.510023
-6794.02354,401,60.10431
-6486.642236,401,65.480716
-6523.001757,401,70.853542
-6667.326941,401,76.374126
-6375.176663,401,81.742057
-6368.565852,401,87.090884
-6276.361874,401,92.451401
-6418.024437,401,97.835834
-6610.996893,401,103.218872
-6264.489499,401,108.587952
-6164.000036,401,113.971242
-6247.975792,401,119.335038
-6292.585022,401,124.695148
-6377.393694,401,130.078041
-6602.449573,401,135.431634
-5954.17246,401,140.931517
-6418.104637,401,146.29774
-6231.038258,401,151.677763
-6384.622892,401,157.041098
-5891.183129,401,162.434122
-6392.47179,401,167.813751
-6408.780843,401,173.190979
-6469.435856,401,178.542566
-6477.743515,401,184.096024
-6312.341153,401,189.537917
-6137.973833,401,194.941717
-6236.647796,401,200.36725
-6292.46241,401,205.729704
-6339.277167,401,211.094968
-6351.469046,401,216.495148
-6047.718034,401,221.891197
-6213.42445,401,227.269048
-6146.99814,401,232.619269
-5924.072403,401,237.996573
-6206.665926,401,243.383888
-6030.397252,401,248.74875
-6204.279329,401,254.321101
-5872.544555,401,259.67142
-5771.801686,401,265.042199
-6237.593519,401,270.393882
-6239.890858,401,275.773633
-6208.068551,401,281.13364
-6302.769198,401,286.516166
-6410.495772,401,292.024285
-6331.803972,401,297.390295
-5934.838295,401,302.750108
-6208.578233,401,308.136458
-5863.420604,401,313.497075
-6126.231406,401,318.876736
-6160.307484,401,324.261482
-6087.95576,401,329.648426
-6186.24502,401,335.030915
-6249.874541,401,340.390353
-5957.080223,401,345.784642
-6405.34331,401,351.150769
-5625.101446,401,356.526767
-6106.677223,401,362.023926
-4880.808481,401,367.428816
-5825.369316,401,372.785783
-5623.244711,401,378.174388
-6153.544276,401,383.559114
-6051.779254,401,388.945463
-5624.786518,401,394.318358
-5394.877392,401,399.84219
-5318.592623,401,405.242306
-6073.192159,401,410.636472
-4690.504095,401,415.997984
-4312.919973,401,421.392874
-5294.585081,401,426.773748
-5567.719103,401,432.147907
-4930.364374,401,437.542514
-4179.026106,401,443.032502
-5198.899038,401,448.421769
-5470.308342,401,453.895604
-5225.123794,401,459.758926
-4913.826371,401,465.362193
-5292.76514,401,470.887374
-4959.38193,401,476.310489
-4542.669426,401,481.684946
-4244.023751,401,487.092135
-4302.268704,401,492.461841
-4452.625763,401,497.880119
-4669.435847,401,503.240606
-4906.530896,401,508.63416
-4613.22973,401,514.024373
-4477.758214,401,519.384372
-5483.625417,401,524.775004
-3979.247738,401,530.154286
-5060.562427,401,535.545686
-3723.468594,401,541.422792
-3223.846765,401,546.845733
-3497.430065,401,552.167758
-3580.227075,401,557.587109
-4805.940089,401,562.95793
-3175.815671,401,568.34317
-3306.81753,401,573.712891
-4526.125069,401,579.182268
-5268.060593,401,584.584651
-4463.529564,401,589.958469
-3694.650829,401,595.33218
-3702.243161,401,600.781374
-5600.606506,401,606.275741
-5280.368072,401,611.644854
-3208.311342,401,617.020753
-3885.670696,401,622.41357
-4321.161565,401,627.801798
-3752.750455,401,633.180886
-4216.93998,401,638.573158
-3391.107839,401,643.93861
-3369.819303,401,649.303074
-3822.228931,401,654.700211
-3816.691509,401,660.187617
-3227.633701,401,665.564431
-3377.631863,401,670.99454
