#{"t_start": 1620345268.6528854, "env_id": null}
r,l,t
-6729.123023,401,7.598918
-6656.258522,401,12.25537
-6452.333009,401,16.968296
-5954.212622,401,21.705952
-6716.144028,401,26.500905
-6840.113667,401,32.616066
-6410.500481,401,38.185267
-6576.592866,401,43.613072
-6507.385031,401,49.125226
-6648.321591,401,54.479435
-6686.016198,401,60.078114
-5608.88471,401,65.450084
-6737.358922,401,70.827032
-6534.908932,401,76.347121
-6649.682726,401,81.711969
-6310.290834,401,87.064744
-6111.153536,401,92.420659
-6010.367827,401,97.805049
-5737.269723,401,103.187758
-6106.361245,401,108.559375
-6278.027422,401,113.940323
-6473.901457,401,119.309319
-6270.290682,401,124.669639
-6454.13038,401,130.04745
-6367.151434,401,135.40464
-5955.727444,401,140.9011
-5713.289994,401,146.275475
-6323.294573,401,151.651525
-6282.176363,401,157.015021
-6228.451691,401,162.403704
-5613.496865,401,167.786574
-6326.291876,401,173.164277
-6165.45299,401,178.516627
-6418.413034,401,184.067611
-5798.698923,401,189.509066
-6248.251641,401,194.910926
-6176.979743,401,200.336673
-6108.460023,401,205.698209
-6053.652679,401,211.063122
-6441.229836,401,216.46862
-6404.814535,401,221.860225
-6078.398797,401,227.247508
-6157.557613,401,232.593822
-6380.133292,401,237.968209
-6328.300003,401,243.353294
-6046.813555,401,248.718051
-6519.41931,401,254.294433
-6132.658681,401,259.641279
-6362.382272,401,265.011799
-6227.797485,401,270.363289
-6065.911539,401,275.742419
-6075.973112,401,281.107559
-5892.726327,401,286.485803
-5725.638024,401,291.99306
-6228.223801,401,297.359392
-6152.171284,401,302.719938
-6038.96847,401,308.105964
-6468.621552,401,313.470512
-5616.506848,401,318.850553
-6102.530402,401,324.234808
-6380.092257,401,329.621097
-6247.574702,401,335.003662
-6124.007057,401,340.359768
-5396.515447,401,345.758436
-6122.911284,401,351.124697
-5497.366601,401,356.500397
-6055.793492,401,361.997698
-5621.272281,401,367.398289
-5467.152328,401,372.763677
-5508.370783,401,378.143967
-5739.873227,401,383.52864
-5550.433235,401,388.918883
-5600.831417,401,394.292323
-5593.030671,401,399.820211
-5643.462863,401,405.215984
-6252.172622,401,410.605641
-5573.76555,401,415.967597
-5102.335535,401,421.370594
-5265.266184,401,426.74584
-4737.084556,401,432.125853
-4240.507062,401,437.511936
-5633.507115,401,443.006267
-5889.263648,401,448.396002
-5131.974199,401,453.868681
-5344.868705,401,459.728581
-5110.517546,401,465.339602
-4083.328607,401,470.856436
-4532.369776,401,476.278639
-5063.018032,401,481.658914
-4490.860652,401,487.065437
-5554.881868,401,492.435681
-4524.086322,401,497.848485
-4827.470516,401,503.210703
-5139.170057,401,508.602914
-5166.550506,401,513.993852
-5476.216701,401,519.354317
-4900.6028,401,524.743205
-3280.03118,401,530.123615
-3416.591033,401,535.515557
-4552.680425,401,541.391491
-4204.801349,401,546.814974
-4998.940226,401,552.141032
-4264.167892,401,557.556289
-4373.575163,401,562.930497
-4148.525371,401,568.316637
-3296.717572,401,573.681812
-3964.065611,401,579.151833
-3994.536566,401,584.557332
-5646.369744,401,589.932122
-3757.874546,401,595.310386
-3518.082322,401,600.754978
-3542.141822,401,606.244842
-3322.202234,401,611.61429
-2482.326173,401,616.99032
-2757.862306,401,622.389902
-3526.7922,401,627.775139
-3091.434648,401,633.154336
-3218.150896,401,638.542599
-3464.066986,401,643.908343
-5332.363338,401,649.272702
-4642.100973,401,654.669541
-2766.76896,401,660.161492
-3548.921438,401,665.533931
-3761.496843,401,670.968663
-4131.589723,401,676.345674
-2677.732556,401,681.722105
-3759.48562,401,687.077675
-3143.52661,401,692.436636
-3440.578806,401,697.806638
-3245.742373,401,703.181983
-3239.803885,401,708.573806
-3393.98314,401,713.922819
