#{"t_start": 1620345268.3707128, "env_id": null}
r,l,t
-6876.653847,401,7.877341
-6774.393341,401,12.537776
-6441.087374,401,17.250469
-6328.975745,401,21.988109
-6108.397809,401,26.779427
-5938.715584,401,32.89851
-6022.278284,401,38.463439
-6617.703087,401,43.895395
-6475.19673,401,49.408535
-6416.494267,401,54.76191
-6278.378177,401,60.360595
-6417.600284,401,65.732258
-6797.375686,401,71.109498
-6733.720315,401,76.629666
-6450.543101,401,81.994032
-6286.472204,401,87.34716
-6353.105534,401,92.703083
-6166.278124,401,98.087641
-6313.328861,401,103.470002
-6161.792564,401,108.839669
-6425.518808,401,114.222662
-6011.202072,401,119.586434
-6529.657527,401,124.94715
-6211.410846,401,130.329778
-5917.103538,401,135.691199
-6005.024926,401,141.183302
-6413.394742,401,146.553412
-5736.485939,401,151.934032
-6248.037589,401,157.301896
-6181.344882,401,162.685904
-6304.870787,401,168.069037
-6424.039945,401,173.442226
-6338.923277,401,178.794647
-6371.203121,401,184.349967
-6503.913585,401,189.79144
-6324.036664,401,195.193318
-6336.228523,401,200.618849
-6526.270908,401,205.980621
-6213.479635,401,211.345639
-6500.335029,401,216.750653
-6328.353732,401,222.142577
-6003.1195,401,227.525073
-6288.445901,401,232.871891
-6491.388092,401,238.250337
-6144.953542,401,243.635691
-6482.018811,401,249.004658
-6280.409802,401,254.581596
-6604.090807,401,259.9236
-6359.504394,401,265.293926
-6356.430669,401,270.649394
-5757.540598,401,276.024985
-5853.333501,401,281.385355
-6326.390827,401,286.768052
-6306.942272,401,292.275475
-6258.393487,401,297.641553
-5127.516788,401,303.002302
-6111.889714,401,308.388377
-6210.825129,401,313.753224
-5769.643256,401,319.128752
-5672.471018,401,324.516835
-6337.126298,401,329.899
-6112.542589,401,335.28178
-6271.822013,401,340.642406
-6191.930897,401,346.036162
-5708.12269,401,351.406969
-5558.167834,401,356.782562
-5998.862579,401,362.280184
-5852.458049,401,367.680782
-5829.437003,401,373.041702
-5701.766651,401,378.426111
-5331.711557,401,383.811111
-6312.953907,401,389.205605
-4651.726351,401,394.570324
-5551.030405,401,400.102289
