#{"t_start": 1620345268.4233515, "env_id": null}
r,l,t
-6279.492677,401,7.824771
-6970.270105,401,12.489486
-6835.760341,401,17.197895
-6756.234961,401,21.935638
-6817.489057,401,26.726731
-6919.959042,401,32.850801
-6476.429902,401,38.4108
-6610.408379,401,43.842748
-6658.625897,401,49.356081
-6420.851401,401,54.709401
-6510.208341,401,60.307956
-6515.611008,401,65.679768
-6724.343153,401,71.060804
-6553.941516,401,76.580649
-6373.153551,401,81.942511
-6504.917148,401,87.294453
-6230.952877,401,92.650431
-6222.279723,401,98.035129
-6198.649177,401,103.417364
-6014.864392,401,108.787177
-6307.258317,401,114.170295
-6433.919357,401,119.534005
-6405.109526,401,124.894536
-6021.093312,401,130.277139
-6331.863933,401,135.634276
-6344.45249,401,141.130664
-5813.454099,401,146.506093
-6477.259154,401,151.881409
-6192.633887,401,157.244681
-5761.630448,401,162.633265
-5755.507638,401,168.020959
-6403.093531,401,173.389851
-6467.576226,401,178.742341
-6067.183898,401,184.300482
-6194.323886,401,189.738801
-6410.71184,401,195.140679
-5957.928572,401,200.566424
-6096.409675,401,205.927921
-6373.851434,401,211.293039
-6226.983449,401,216.698212
-6194.674014,401,222.089867
-6450.591926,401,227.472362
-6121.360386,401,232.821898
-6343.922656,401,238.19779
-5715.386104,401,243.583135
-5923.611433,401,248.947947
-6375.672751,401,254.524443
-6361.602054,401,259.870984
-6501.849587,401,265.241373
-6284.947042,401,270.593024
-6099.720318,401,275.972373
-6302.604076,401,281.332755
-6007.75256,401,286.715807
-6288.030351,401,292.222836
-5998.883081,401,297.593179
-5376.328274,401,302.94977
-6282.816512,401,308.335738
-6239.399844,401,313.700292
-6327.791532,401,319.076271
-6157.526715,401,324.460069
-6335.902482,401,329.846361
-5397.24939,401,335.229177
-5833.132754,401,340.594352
-6167.373741,401,345.988235
-5868.488607,401,351.358936
-6017.999209,401,356.729937
-6305.802853,401,362.227675
-5449.55948,401,367.628078
-5702.114242,401,372.989063
-5885.853643,401,378.373579
-5017.824661,401,383.758591
-5677.499445,401,389.148561
-5028.549621,401,394.517782
-5482.219761,401,400.045399
-5777.032082,401,405.439432
-4703.433107,401,410.835328
-4752.016422,401,416.197388
-5576.536641,401,421.596044
-5970.722342,401,426.971493
-4636.649735,401,432.355466
-5000.824933,401,437.741466
-3934.357017,401,443.231603
-5571.108737,401,448.62093
-4694.370022,401,454.099034
-5296.103408,401,459.958104
-5081.279505,401,465.565363
-4906.461935,401,471.086584
-4909.727061,401,476.508479
-5829.83546,401,481.884325
-4208.278706,401,487.295164
-5078.181724,401,492.660951
-5125.929181,401,498.078393
-4208.385086,401,503.44154
-4605.938515,401,508.832573
-4532.653751,401,514.223381
-5396.157728,401,519.584153
-5433.549684,401,524.973064
-3361.12074,401,530.354602
-4196.491237,401,535.74911
-3694.076308,401,541.626018
-3442.478528,401,547.044523
-4879.503699,401,552.370766
-4025.231422,401,557.785927
-4930.074584,401,563.160048
-4113.895587,401,568.542126
-4695.007013,401,573.911691
-4588.611473,401,579.381438
-3294.741326,401,584.78825
-4715.56975,401,590.157495
-3727.214261,401,595.53565
-2639.914289,401,600.990387
-3835.329925,401,606.474665
-4081.805243,401,611.843891
-3516.046809,401,617.220048
-3586.03037,401,622.619612
-3273.368678,401,628.009429
-3689.844942,401,633.379751
-3709.005201,401,638.772557
-3875.778464,401,644.138098
-4467.680865,401,649.502455
-3358.315949,401,654.899559
-1694.714224,401,660.386693
-3457.224571,401,665.763819
-2957.20241,401,671.198117
-3682.08709,401,676.575433
-4806.716192,401,681.951831
-4127.16718,401,687.307547
-2577.354185,401,692.666471
-2604.684641,401,698.036422
-4615.292976,401,703.411699
-3812.505681,401,708.803176
-4200.494484,401,714.14775
-4021.180841,401,719.512817
-3746.608829,401,724.872509
-2920.821781,401,730.293589
-4537.641278,401,735.676794
-3517.101183,401,741.106652
-4526.479925,401,746.483888
-5812.844505,401,751.871228
-3645.744882,401,757.293051
-5243.945137,401,762.72506
-3907.855453,401,768.098845
-4300.982682,401,773.494633
-3731.614226,401,778.863455
-4725.002311,401,784.22981
-3635.87524,401,789.632938
-2869.06934,401,794.984146
-4352.997111,401,800.362873
-3306.502285,401,805.721915
-3694.259034,401,811.11622
-2475.653684,401,816.511073
-4183.434871,401,821.88722
-3447.642485,401,827.259179
-3265.668351,401,832.646427
-4620.789871,401,838.032175
-4381.97174,401,843.442823
-3726.127343,401,848.798016
-4009.723069,401,854.180911
-3787.841609,401,859.55933
-4945.939093,401,865.101326
-2472.512613,401,870.522007
-3397.625663,401,875.88292
-3426.693256,401,881.266494
-3492.983326,401,886.672936
-3370.081968,401,892.033741
-3113.129734,401,897.434303
-3989.266945,401,902.799158
-4225.001821,401,908.194006
-4695.692101,401,913.562919
-3684.29181,401,918.952008
-3866.781359,401,924.341601
-4078.659131,401,929.687742
-3912.587503,401,935.06089
-5612.869909,401,940.438248
-3140.059965,401,945.797427
-3219.670918,401,951.203933
-3215.605274,401,956.579911
-3788.582863,401,961.951585
-6059.282135,401,967.330483
-3624.210951,401,972.713806
-3153.940299,401,978.276003
-3293.919923,401,983.629716
-2863.470079,401,989.009409
-3788.684315,401,994.400856
-3489.199042,401,999.783941
-2506.801765,401,1005.186131
-1983.806083,401,1010.558417
-2785.647749,401,1016.00105
-3327.793943,401,1021.375166
-4594.569931,401,1026.757642
-3837.221297,401,1032.176007
-3357.269529,401,1037.533583
-4262.360138,401,1043.030667
-4480.482224,401,1048.412953
-3694.886709,401,1053.79701
-4113.524378,401,1059.18279
-3036.915714,401,1064.554634
-3131.812843,401,1069.937477
-3163.135551,401,1075.334378
-3761.069036,401,1080.777483
-4881.480387,401,1086.193641
-3982.858588,401,1091.547257
-4125.497873,401,1096.922702
-3403.685652,401,1102.306842
-3967.878782,401,1107.69826
-4452.868967,401,1113.081803
-3700.090167,401,1118.678396
-2843.393744,401,1124.057192
-3237.442036,401,1129.432663
-4421.859374,401,1134.840417
-3528.190927,401,1140.262348
-3576.554345,401,1145.626011
-1916.757359,401,1150.999816
-3764.90661,401,1156.377146
-4225.055978,401,1161.755346
-3588.419791,401,1167.132669
-4652.534689,401,1172.495939
-4268.684759,401,1177.922232
-2994.121002,401,1183.267467
-3043.758481,401,1188.658437
-3331.742463,401,1194.061195
-3120.14807,401,1199.447265
-4369.908176,401,1204.826949
-3076.685727,401,1210.196934
-3997.904822,401,1215.569878
-4298.178922,401,1220.966321
-3384.237329,401,1226.350262
-2709.962266,401,1231.706577
-3902.977557,401,1237.078109
-2758.036658,401,1242.477063
-4199.00027,401,1247.869586
-3314.921225,401,1253.237457
-3760.574015,401,1258.595864
-4076.718055,401,1264.035637
-3209.725225,401,1269.365684
-2743.245496,401,1274.762976
-3432.735996,401,1280.156639
-3953.832695,401,1285.523937
-3220.109538,401,1290.902374
-3473.909152,401,1296.269381
-4051.021317,401,1301.684685
-3086.810668,401,1307.084052
-2445.048332,401,1312.438205
-3138.766038,401,1317.802657
-2366.793362,401,1323.35972
-2703.492606,401,1328.882067
-2762.730112,401,1334.284383
-2412.044376,401,1339.739585
-4038.684224,401,1345.139574
-2900.148943,401,1350.503622
-3573.27793,401,1355.905785
-3314.668094,401,1361.282169
-2935.509594,401,1366.635169
-4785.45742,401,1372.021808
-3916.04818,401,1377.38635
-2785.173631,401,1382.75228
-3603.295984,401,1388.113615
-3002.351821,401,1393.814612
-3606.678076,401,1399.146121
-3191.258251,401,1404.516207
-3291.096631,401,1409.969169
-1958.11695,401,1415.337037
-4117.390934,401,1420.689582
-3568.133839,401,1426.065944
-2778.729374,401,1431.455806
-3486.752995,401,1436.882099
-2696.827549,401,1442.261895
-2281.161284,401,1447.630991
-4157.366109,401,1453.006027
-4021.30463,401,1458.382197
-3188.599198,401,1463.75883
-2472.265326,401,1469.112582
-1814.953352,401,1474.68186
-2264.48035,401,1480.071733
-1109.629726,401,1485.448489
-4567.68154,401,1490.819524
-2583.918745,401,1496.184879
-2998.867383,401,1501.582865
-3024.104374,401,1506.934471
-3162.120403,401,1512.30313
-3959.218726,401,1517.688544
-4243.17998,401,1523.068667
-3145.580998,401,1528.404288
-3022.540094,401,1533.765534
-3875.865783,401,1539.104033
-2767.014215,401,1544.528546
-2102.487107,401,1549.879855
-2932.915733,401,1555.226931
-2817.162367,401,1560.60237
-1698.714437,401,1565.969305
-2573.36728,401,1571.394349
-1116.10418,401,1576.755909
-4716.353266,401,1582.093431
-995.01113,401,1587.466877
-2165.560777,401,1592.819796
-3966.59771,401,1598.208076
-2757.379801,401,1603.556431
-1065.883001,401,1608.885304
-2715.258541,401,1614.296009
-1888.444691,401,1619.735806
-2778.491466,401,1625.203121
-1550.135593,401,1630.618063
-3058.112772,401,1636.071887
