#{"t_start": 1620345268.2207792, "env_id": null}
r,l,t
-6894.064948,401,8.027345
-6316.086228,401,12.687906
-6521.537201,401,17.400506
-6540.403469,401,22.13821
-6558.248406,401,26.929361
-6512.10132,401,33.048443
-6756.365216,401,38.613293
-6906.872607,401,44.04532
-6766.761281,401,49.563264
-6720.839983,401,54.911811
-6683.944834,401,60.510447
-6537.420949,401,65.88219
-6694.325853,401,71.25945
-6507.952143,401,76.779443
-6343.216553,401,82.150914
-6331.502427,401,87.497061
-6357.850327,401,92.853098
-6441.424435,401,98.237574
-6400.289178,401,103.619925
-6488.298964,401,108.99057
-6244.809017,401,114.372867
-6476.276995,401,119.736659
-6387.071083,401,125.097079
-5707.395944,401,130.477951
-6073.912513,401,135.841188
-6383.537995,401,141.333139
-6295.849728,401,146.703537
-6503.115418,401,152.083981
-6436.167884,401,157.451466
-6366.037473,401,162.83566
-5904.467465,401,168.2231
-6225.632556,401,173.592422
-6428.143988,401,178.944632
-6256.571393,401,184.504322
-6051.759898,401,189.941342
-6221.192617,401,195.343076
-6084.179681,401,200.768996
-6371.555267,401,206.134143
-6298.14849,401,211.495612
-6244.370785,401,216.900784
-6379.495579,401,222.292331
-6029.228143,401,227.674964
-6398.040642,401,233.027132
-6324.94001,401,238.400363
-6341.974087,401,243.785668
-6126.004246,401,249.150238
-6279.430394,401,254.731167
-6211.159974,401,260.077902
-6408.34592,401,265.444124
-6333.024872,401,270.795538
-6481.796461,401,276.174945
-6330.917692,401,281.535394
-6357.090988,401,286.922617
-6009.26667,401,292.425356
-6164.490867,401,297.796363
-6160.152798,401,303.152509
-6110.516527,401,308.538503
-6237.650885,401,313.902946
-6387.731751,401,319.283408
-6279.073213,401,324.662785
-5688.475496,401,330.053405
-6004.726356,401,335.431749
-6330.652075,401,340.79234
-5868.371349,401,346.186276
-6373.936695,401,351.562519
-5585.119708,401,356.932503
-5799.037593,401,362.433002
-6236.908741,401,367.830604
-5941.92575,401,373.193194
-5675.299309,401,378.57604
-6228.690857,401,383.961164
-4550.744314,401,389.351171
-5101.447016,401,394.72053
-5994.144507,401,400.252375
-4760.451669,401,405.643852
-5948.737192,401,411.037747
-5801.881833,401,416.39998
-4959.31176,401,421.798636
-5659.539099,401,427.174066
-5466.901196,401,432.553565
-5274.32623,401,437.944201
-5703.814758,401,443.434175
-5776.913047,401,448.823564
-5682.460073,401,454.301626
-4731.757925,401,460.165147
-5446.35358,401,465.767781
-5322.263887,401,471.289157
-4841.620617,401,476.711052
-5653.625157,401,482.086757
-4132.853535,401,487.493247
-4690.951678,401,492.863483
-5043.403069,401,498.28086
-5543.986485,401,503.646903
-5807.237837,401,509.035188
-4652.796731,401,514.425926
-6298.407044,401,519.786647
-4364.465666,401,525.175751
-5498.358299,401,530.55783
-3602.875419,401,535.947757
-3787.691244,401,541.823975
-5491.61343,401,547.251954
-4646.010227,401,552.573169
-4061.406886,401,557.993135
-5587.518116,401,563.366191
-4013.7092,401,568.744624
-4854.462871,401,574.114091
-3693.102076,401,579.58404
-3064.48463,401,584.986038
-4441.551139,401,590.363286
-3068.938745,401,595.742569
-3181.758217,401,601.187413
-3567.460748,401,606.677156
-4973.9434,401,612.046463
