#{"t_start": 1620345268.804934, "env_id": null}
r,l,t
-6640.190871,401,7.447222
-6680.169594,401,12.107141
-6705.524413,401,16.820298
-6532.741727,401,21.558434
-6895.683753,401,26.349136
-6654.469285,401,32.470515
-6574.847504,401,38.033458
-6698.814999,401,43.465431
-6689.257879,401,48.97869
-6689.714195,401,54.332761
-6579.379549,401,59.930975
-6564.794868,401,65.302281
-6365.50599,401,70.679531
-6431.320119,401,76.19735
-6469.359467,401,81.566724
-6102.083736,401,86.918036
-6615.59494,401,92.273468
-5936.510169,401,97.657576
-6269.191664,401,103.040285
-6322.218893,401,108.405981
-6498.053271,401,113.789038
-6341.472313,401,119.152755
-6202.181039,401,124.513299
-5588.512304,401,129.900108
-5910.209667,401,135.256695
-5929.694596,401,140.754096
-6518.909924,401,146.123629
-6424.710425,401,151.504182
-6085.967472,401,156.867385
-6379.857653,401,162.255966
-6323.9278,401,167.638529
-6032.104012,401,173.012802
-6112.117371,401,178.362849
-6334.089494,401,183.916273
-6080.326624,401,189.36134
-6141.019851,401,194.763655
-6415.951081,401,200.185863
-6255.048198,401,205.550344
-6380.558696,401,210.915553
-6445.153459,401,216.321146
-6289.695563,401,221.712466
-6005.634992,401,227.09504
-6318.986947,401,232.439593
-6299.699843,401,237.820729
-6024.728504,401,243.203618
-6411.894803,401,248.570699
-6261.31024,401,254.147343
-5758.447838,401,259.493505
-6634.314067,401,264.864702
-5591.615133,401,270.216595
-6236.052532,401,275.5953
-5505.321629,401,280.951551
-5960.410152,401,286.338677
-6240.863468,401,291.845527
-5918.39938,401,297.21152
-5773.471145,401,302.572642
-6340.886235,401,307.960471
-6097.367215,401,313.323819
-6264.522798,401,318.698789
-6402.760579,401,324.08265
-6302.372392,401,329.4693
-6039.732714,401,334.852095
-6254.633439,401,340.212419
-6445.71691,401,345.60638
-6333.954016,401,350.977268
-6015.902929,401,356.352673
-6103.754387,401,361.850581
-5927.100106,401,367.250798
-5971.68867,401,372.607728
-6009.45117,401,377.996917
-5402.043278,401,383.381269
-5654.001733,401,388.767529
-5831.694287,401,394.136806
-5794.135365,401,399.664143
-4631.875489,401,405.064025
-4206.264865,401,410.458193
-4564.102829,401,415.820288
-4777.180373,401,421.219197
-6203.810686,401,426.594893
-5637.705255,401,431.969889
-5124.109204,401,437.363913
-5546.151229,401,442.850347
-5890.814853,401,448.244329
-5834.358029,401,453.721034
-4695.988701,401,459.580806
-5649.949779,401,465.188094
-5197.043895,401,470.70875
-4687.330665,401,476.131202
-3199.367326,401,481.503116
-4977.122967,401,486.913779
-4377.924312,401,492.281667
-4752.960592,401,497.702134
-4798.287837,401,503.062833
-4410.542975,401,508.45536
-4732.419669,401,513.846439
-3382.950154,401,519.202992
-5062.37738,401,524.59581
-4749.798781,401,529.976117
-5882.146886,401,535.367892
-4002.986202,401,541.244429
-4713.121209,401,546.66802
-4599.473328,401,551.993024
-3803.682036,401,557.408882
-3544.760495,401,562.783406
-3897.966308,401,568.160927
-3460.279092,401,573.534738
-3833.315452,401,579.004111
-2280.564484,401,584.406291
-4281.726323,401,589.780469
-5035.183262,401,595.159315
-4181.128594,401,600.6083
-3019.659248,401,606.098228
-4721.202184,401,611.467059
-3275.787713,401,616.842876
-4384.054894,401,622.238117
-3149.633045,401,627.628034
-4061.376044,401,632.998907
-3225.42869,401,638.391267
-3007.784169,401,643.760838
-3638.223723,401,649.125151
-4162.181956,401,654.522277
-2298.295276,401,660.005567
-3035.468083,401,665.386722
-3439.496917,401,670.816405
-5429.495463,401,676.194442
-3878.552165,401,681.57476
-3870.696688,401,686.930811
-5015.731812,401,692.289449
-3373.099898,401,697.655112
-1882.352099,401,703.034694
-3534.07147,401,708.425859
-2592.887351,401,713.770749
-2970.840188,401,719.136785
-2379.258642,401,724.495315
-3740.362581,401,729.916463
-3812.407906,401,735.294715
-2716.770604,401,740.729077
-2639.969555,401,746.107482
-2761.335469,401,751.493687
-2900.90717,401,756.91372
-3564.522308,401,762.348032
-4760.571948,401,767.721272
-4396.479665,401,773.113506
-3377.130155,401,778.486401
-4573.621917,401,783.848637
-4293.631338,401,789.25172
-2137.704793,401,794.607364
-3465.438968,401,799.985535
-2807.34752,401,805.344461
-3603.965881,401,810.740664
-3243.925476,401,816.131432
-4156.422748,401,821.510195
-3380.843964,401,826.88279
-3337.743917,401,832.269293
-5601.146394,401,837.655166
-4308.232591,401,843.061349
-4071.475709,401,848.420999
-3028.080919,401,853.803349
-3184.794574,401,859.177038
-3095.607211,401,864.720223
-2180.345779,401,870.144747
-2123.979496,401,875.505779
-3890.684768,401,880.890133
-3931.802207,401,886.29531
-3561.332727,401,891.656448
-2995.019639,401,897.057393
-3905.923744,401,902.417984
-4018.079589,401,907.816883
-4050.255737,401,913.1819
-2163.090388,401,918.574682
-3319.612245,401,923.964395
-3951.649708,401,929.310315
-3955.892335,401,934.679452
-5709.886073,401,940.056601
-3053.407769,401,945.419743
-3715.026827,401,950.82772
-3538.373071,401,956.198676
-3101.648602,401,961.574309
-3333.91516,401,966.952809
-3706.316741,401,972.332455
-3301.259669,401,977.899276
-2514.417309,401,983.249301
-3067.612786,401,988.628488
-3670.491055,401,994.023916
-2890.578856,401,999.406902
-1768.124731,401,1004.80927
-3537.346152,401,1010.181114
-3303.019426,401,1015.619356
-3443.597433,401,1020.998221
-4349.73826,401,1026.381341
-4317.363846,401,1031.798769
-3373.347309,401,1037.157317
-3665.483171,401,1042.653763
-1966.501393,401,1048.035333
-5050.419911,401,1053.420109
-3914.926598,401,1058.805354
-4063.379746,401,1064.178242
-3504.562559,401,1069.560342
-3054.144784,401,1074.957139
-3567.208231,401,1080.400402
-4132.689942,401,1085.807133
-4446.616589,401,1091.170236
-4139.754954,401,1096.544873
-3358.079087,401,1101.929752
-3532.394606,401,1107.315552
-4118.986809,401,1112.70273
-3658.774675,401,1118.301926
-2420.727539,401,1123.677433
-3499.608818,401,1129.055849
-4225.269114,401,1134.463169
-2755.579461,401,1139.88536
-3286.391563,401,1145.2491
-3156.487499,401,1150.618015
-3663.712811,401,1155.99618
-4352.399124,401,1161.378104
-3853.040186,401,1166.755396
-3581.778649,401,1172.114673
-3908.082691,401,1177.541357
-3527.252769,401,1182.88993
-4363.53097,401,1188.277078
-3014.238577,401,1193.6804
-3707.013159,401,1199.069873
-4421.082246,401,1204.44949
-3115.795752,401,1209.820715
-3757.712898,401,1215.192791
-3098.195741,401,1220.585343
-3545.168271,401,1225.972972
-3822.135779,401,1231.327696
-3737.271044,401,1236.702641
-3064.384368,401,1242.100007
-3586.372721,401,1247.493178
-2390.815542,401,1252.859886
-3373.373504,401,1258.21835
-3575.247074,401,1263.652932
-4092.346301,401,1268.984658
-2822.973194,401,1274.381655
-3683.437037,401,1279.775751
-2003.926991,401,1285.146762
-3020.409296,401,1290.525274
-2350.141786,401,1295.892853
-3370.347278,401,1301.303625
-2719.150182,401,1306.698515
-3714.477315,401,1312.060561
-3356.163327,401,1317.425156
-1446.492918,401,1322.978472
-3204.425509,401,1328.495925
-3532.583516,401,1333.90322
-2728.681956,401,1339.358428
-3521.869709,401,1344.754245
-2712.979579,401,1350.126597
-4294.090428,401,1355.528836
-5130.214464,401,1360.905169
-3914.401096,401,1366.254027
-4237.104935,401,1371.644335
-3815.302395,401,1377.00489
-3422.416628,401,1382.375014
-3208.5658,401,1387.735847
-3555.443481,401,1393.432597
-2602.26894,401,1398.768158
-4471.478153,401,1404.139441
-4673.675434,401,1409.592713
-2997.122307,401,1414.956073
-2726.808892,401,1420.312491
-3182.204366,401,1425.684903
-3547.832364,401,1431.078528
-1365.517246,401,1436.504611
-3181.991443,401,1441.886184
-2260.857687,401,1447.249521
-3198.903876,401,1452.624728
-2886.206829,401,1458.000831
-3281.123933,401,1463.381748
-3580.730395,401,1468.731422
-2160.834384,401,1474.305242
-2321.5153,401,1479.690612
-3006.251,401,1485.070925
-2990.455123,401,1490.442439
-4559.775771,401,1495.807793
-3095.156912,401,1501.205809
-3204.05616,401,1506.557004
-3003.142901,401,1511.92192
-4189.230741,401,1517.302849
-3193.478225,401,1522.683856
-1916.352109,401,1528.027363
-2834.404043,401,1533.384679
-3670.607469,401,1538.726964
-1627.014244,401,1544.14726
-2924.212844,401,1549.499775
-1723.495897,401,1554.850463
-2188.867254,401,1560.224942
-2085.978251,401,1565.591772
-2625.354573,401,1571.017287
-3219.459282,401,1576.375746
-4598.407754,401,1581.716121
-2519.365753,401,1587.089215
-1930.18867,401,1592.438623
-280.733792,401,1597.830778
-2334.31036,401,1603.178931
-2871.521818,401,1608.50781
-4533.950411,401,1613.918888
-1803.16137,401,1619.358329
-3411.215973,401,1624.825724
-3062.085746,401,1630.24113
-4075.422599,401,1635.690056
-2987.32094,401,1641.578629
-2438.968582,401,1646.954789
-2533.60643,401,1652.404503
-1610.043066,401,1657.781196
-3679.971627,401,1663.131175
-3476.779401,401,1668.525471
-2367.123972,401,1673.934836
-3285.363575,401,1679.391362
-1879.773909,401,1684.838989
-3068.357032,401,1690.245106
-313.927178,401,1695.606089
-3169.975907,401,1701.006649
-4564.080389,401,1706.441122
-2113.14848,401,1711.946095
-1814.261949,401,1717.334072
-2554.719487,401,1722.672818
-1769.007639,401,1728.125499
-1516.036516,401,1733.632687
-2358.924897,401,1739.024909
-2332.195418,401,1744.433748
-2471.63559,401,1749.829225
-306.091569,401,1755.192478
-1582.531906,401,1760.646887
-2121.326869,401,1766.138594
-3390.595791,401,1771.531598
-2288.031516,401,1776.909875
-2808.565868,401,1782.504303
-1387.341453,401,1787.898859
-5057.744588,401,1793.347752
-1682.095965,401,1798.762452
-2749.241765,401,1804.184164
-894.210631,401,1809.526566
-3635.069252,401,1814.897729
-2687.692427,401,1820.593559
-1384.892121,401,1825.98566
-1753.205257,401,1831.330494
-1455.887533,401,1836.73701
-1136.86104,401,1842.149742
