#{"t_start": 1620345268.7131658, "env_id": null}
r,l,t
-6625.539379,401,7.539825
-6731.802295,401,12.198655
-6795.267516,401,16.913573
-6376.88944,401,21.649517
-6610.528397,401,26.436947
-6921.522618,401,32.556477
-6788.549877,401,38.12605
-6707.659428,401,43.554523
-6672.618739,401,49.070639
-6811.012649,401,54.420028
-6614.958458,401,60.022449
-6555.085781,401,65.390387
-6403.820459,401,70.771356
-6430.825806,401,76.292604
-6542.341261,401,81.656174
-6624.88904,401,87.009256
-6450.28953,401,92.360537
-6401.949452,401,97.749443
-6373.001498,401,103.132054
-5781.212987,401,108.501467
-6403.802356,401,113.884946
-6247.544729,401,119.244261
-6165.984473,401,124.609402
-5965.653268,401,129.9917
-5898.227868,401,135.348655
-6051.030081,401,140.845294
-6096.071489,401,146.211098
-6370.581257,401,151.595586
-5924.76613,401,156.954895
-6241.686136,401,162.343795
-6316.852412,401,167.731817
-6236.31457,401,173.099922
-6259.193592,401,178.452956
-6480.711875,401,184.011452
-6393.09177,401,189.449607
-6205.077638,401,194.85564
-6078.103384,401,200.280767
-6626.180039,401,205.642413
-6425.482462,401,211.003674
-6065.072893,401,216.412915
-6044.454018,401,221.80441
-6478.719402,401,227.186951
-6267.399452,401,232.533664
-6111.592367,401,237.913124
-6230.692202,401,243.293677
-6404.58344,401,248.658431
-6249.924163,401,254.2388
-5819.433316,401,259.585317
-6483.727612,401,264.956218
-6497.974304,401,270.303276
-6100.78256,401,275.686736
-6281.362592,401,281.047279
-6344.187435,401,286.42627
-6266.245467,401,291.937521
-6288.560473,401,297.303775
-6247.058264,401,302.664167
-6193.297254,401,308.046015
-6184.819853,401,313.410623
-6497.645814,401,318.786994
-6316.526349,401,324.170742
-5827.883493,401,329.55699
-5849.4742,401,334.939346
-6255.719489,401,340.300862
-6021.891712,401,345.694006
-5881.064587,401,351.069394
-6138.531772,401,356.444441
-6411.274434,401,361.942711
-5884.81189,401,367.342651
-5645.363726,401,372.703536
-6064.757967,401,378.08821
-5568.363817,401,383.474863
-6052.874816,401,388.862708
-5505.269213,401,394.232192
-5516.553575,401,399.757205
-4924.99136,401,405.155704
-5309.249154,401,410.545552
-5143.190948,401,415.911609
-4900.35746,401,421.306226
-5236.717681,401,426.686149
-5521.906977,401,432.066253
-5187.943259,401,437.456054
-5288.63295,401,442.941726
-5753.710534,401,448.335538
-5089.143879,401,453.815213
-5867.345087,401,459.672727
-5435.452449,401,465.275609
-4678.765198,401,470.801053
-4686.171808,401,476.22329
-3987.745148,401,481.599635
-5267.369618,401,487.005157
-4347.133907,401,492.371176
-4495.143438,401,497.793249
-4639.531033,401,503.155858
-6218.700691,401,508.543363
-3769.553155,401,513.938834
-4786.469744,401,519.299648
