#{"t_start": 1620345268.7216852, "env_id": null}
r,l,t
-6596.17277,401,7.530473
-6066.390702,401,12.18722
-6858.4127,401,16.903482
-6829.43139,401,21.641371
-6689.272005,401,26.433235
-6931.577219,401,32.552416
-6759.699872,401,38.11723
-6678.800312,401,43.548858
-6760.956001,401,49.06317
-6531.723522,401,54.415369
-6695.693834,401,60.014045
-6673.331873,401,65.386595
-6166.193727,401,70.760818
-6608.059422,401,76.282998
-6638.99041,401,81.648734
-6276.378873,401,87.000845
-6267.293899,401,92.356614
-6480.415624,401,97.741219
-6330.683768,401,103.123494
-6326.110859,401,108.493183
-6245.793856,401,113.872074
-6236.562805,401,119.240564
-5574.568242,401,124.596295
-6423.696,401,129.983376
-6202.071048,401,135.340226
-6241.454034,401,140.832701
-6391.601627,401,146.207467
-6230.122336,401,151.583672
-6495.454502,401,156.946624
-6563.896771,401,162.339433
-6505.678905,401,167.72252
-6614.81946,401,173.096051
-6308.87534,401,178.443984
-6135.912502,401,183.999298
-6434.004764,401,189.440478
-6337.609959,401,194.846483
-6203.630395,401,200.272353
-6470.942626,401,205.633894
-6516.775003,401,210.998748
-5689.483491,401,216.399906
-6428.874746,401,221.796041
-6497.841984,401,227.174105
-6378.090527,401,232.521038
-6296.211648,401,237.905199
-6470.422863,401,243.288284
-5704.619309,401,248.6537
-5853.117951,401,254.230729
-6347.693684,401,259.577124
-6395.977775,401,264.947397
-6274.098397,401,270.299197
-6204.351369,401,275.674453
-6345.901371,401,281.03897
-6062.112922,401,286.422254
-5677.362581,401,291.925064
-6404.818104,401,297.294845
-6119.668785,401,302.651856
-6113.898155,401,308.042256
-6216.214285,401,313.406937
-5928.118013,401,318.781901
-6126.201084,401,324.166315
-6273.91528,401,329.553371
-5286.882367,401,334.935344
-6227.704281,401,340.29613
-5635.512263,401,345.690248
-5713.579526,401,351.059157
-5937.774562,401,356.435978
-5988.763995,401,361.93383
-5940.140755,401,367.333659
-5486.921571,401,372.693987
-5887.837371,401,378.079703
-5569.642908,401,383.464619
-5147.724359,401,388.854362
-5901.840394,401,394.223618
-5898.718474,401,399.747133
-4697.476058,401,405.146621
-4925.07462,401,410.541381
-5623.553798,401,415.904265
-4934.191617,401,421.302163
-5984.782371,401,426.677629
-5434.584502,401,432.052797
-6345.605049,401,437.448083
-4456.199134,401,442.937773
-5205.934255,401,448.326488
-5089.139351,401,453.805453
-4909.365103,401,459.662903
-4148.141563,401,465.271111
-5480.475362,401,470.792689
-4635.448289,401,476.21477
-4607.180147,401,481.590009
-3460.276048,401,486.997028
-4285.438641,401,492.363133
-4410.290092,401,497.784446
-4720.115243,401,503.142425
-4454.028986,401,508.538835
-5316.376711,401,513.930402
-4448.988865,401,519.29049
-4232.959949,401,524.679579
-4696.900611,401,530.05875
-5541.16324,401,535.451027
-2554.728145,401,541.328516
-5072.742853,401,546.750628
-4593.396669,401,552.077757
-3674.998816,401,557.487748
-3696.232666,401,562.866236
-2759.117006,401,568.244503
-2806.105245,401,573.617883
-4124.356666,401,579.08892
-4526.094057,401,584.489916
-5451.138563,401,589.864508
-5491.134966,401,595.237495
-3248.266397,401,600.695007
-3690.765614,401,606.180875
-3515.655416,401,611.546001
-5113.004581,401,616.922354
-3752.869369,401,622.317054
-3431.152717,401,627.710864
-3324.339203,401,633.081823
-3031.063583,401,638.47877
-3429.567073,401,643.842632
-3382.540874,401,649.208725
-3723.419422,401,654.607416
-3067.396724,401,660.092999
-3492.711055,401,665.466101
-3197.056015,401,670.895544
-2959.980857,401,676.279407
-5492.621866,401,681.658035
-3671.332519,401,687.013844
-2663.113901,401,692.373532
-3815.030713,401,697.738478
-1894.883703,401,703.117637
-2698.127316,401,708.509609
