#{"t_start": 1620345268.4080064, "env_id": null}
r,l,t
-6736.566252,401,7.844045
-6925.730986,401,12.500911
-6771.049608,401,17.217162
-6912.215514,401,21.954807
-6831.509109,401,26.746328
-6915.343205,401,32.865113
-6839.989473,401,38.430392
-6940.435791,401,43.862699
-6535.003917,401,49.375359
-6522.057625,401,54.728933
-6628.05228,401,60.328359
-6500.618407,401,65.699587
-6497.001,401,71.07615
-6758.715889,401,76.596677
-6506.423687,401,81.957232
-6605.692723,401,87.314014
-6698.824012,401,92.669979
-6441.345623,401,98.055407
-6492.688774,401,103.436053
-6306.769681,401,108.807466
-6323.905826,401,114.189446
-6337.520228,401,119.554243
-6486.574267,401,124.914921
-6353.984501,401,130.295158
-6450.651166,401,135.654912
-6178.27446,401,141.15066
-6417.633013,401,146.520797
-6283.917828,401,151.90111
-5989.429175,401,157.264458
-5995.716217,401,162.652532
-5678.319458,401,168.031975
-6315.278363,401,173.409296
-5726.692207,401,178.761712
-6303.364079,401,184.318019
-6434.480932,401,189.758612
-6379.235215,401,195.159991
-6288.609446,401,200.587051
-6336.702415,401,205.948135
-6147.334233,401,211.312679
-6164.117532,401,216.718017
-5679.136569,401,222.109824
-6217.845836,401,227.488058
-6209.117553,401,232.839002
-6125.069523,401,238.217407
-6204.167933,401,243.602836
-6215.550555,401,248.963543
-6234.214996,401,254.543975
-6344.08489,401,259.886728
-6173.129646,401,265.261193
-5930.317063,401,270.612726
-6393.738076,401,275.992293
-6434.031736,401,281.352649
-6218.834409,401,286.7343
-6274.03466,401,292.238625
-6122.945369,401,297.604824
-6129.688205,401,302.970214
-6158.949537,401,308.351505
-6209.255534,401,313.719534
-6141.254126,401,319.096432
-5747.669517,401,324.476066
-5866.549224,401,329.866119
-6114.258434,401,335.245014
-5943.553363,401,340.60979
-6274.29399,401,346.003084
-6031.827843,401,351.373277
-5483.297605,401,356.749656
-6345.473067,401,362.247086
-5426.025175,401,367.648716
-6030.658929,401,373.009001
-6225.900898,401,378.389453
-5475.240652,401,383.778664
-6126.458725,401,389.168199
-5561.692523,401,394.53762
-4380.969804,401,400.065574
-5671.453658,401,405.457793
-5814.179711,401,410.856471
-4734.023544,401,416.216993
-4850.434847,401,421.616354
-6018.003962,401,426.991282
-4126.950285,401,432.366776
-5537.26563,401,437.757178
-5032.592527,401,443.251368
-4634.188187,401,448.641064
-4739.460043,401,454.123441
-5063.125296,401,459.978173
-5503.612766,401,465.581117
-3796.257,401,471.10652
-4495.23286,401,476.528567
-5069.719166,401,481.904614
-5756.906924,401,487.310672
-3891.532947,401,492.676827
-4328.682306,401,498.094066
-3774.515746,401,503.45987
-4133.116445,401,508.851983
-5921.846787,401,514.23935
-5215.87002,401,519.60352
-4432.917119,401,524.992978
-5311.70898,401,530.372848
-5198.335129,401,535.764706
-5179.764617,401,541.641329
-5009.407362,401,547.065629
-5854.328734,401,552.390137
-5235.201166,401,557.806014
-4321.210311,401,563.175977
-3841.311267,401,568.562251
-3067.58073,401,573.931214
-3218.394854,401,579.401168
-3394.96174,401,584.79929
-4581.209016,401,590.177397
-5004.69659,401,595.551563
-4570.854094,401,601.007353
-3333.785097,401,606.494554
-4240.09516,401,611.863918
-3463.076885,401,617.240101
-5178.177894,401,622.635038
-2406.567841,401,628.025347
-5051.442192,401,633.399368
-3178.054893,401,638.792456
-3602.361275,401,644.154064
-4467.789024,401,649.523246
-3646.423003,401,654.918736
-2961.608739,401,660.406253
-3405.106062,401,665.783242
-3238.131586,401,671.209578
-5546.914516,401,676.594871
-3203.932854,401,681.967947
-3857.359735,401,687.327523
-3125.303682,401,692.686377
-3532.445923,401,698.047896
-3160.914265,401,703.43127
-3462.0445,401,708.822683
-2936.303943,401,714.163545
-3108.066226,401,719.53263
-3265.448783,401,724.892458
-2137.101358,401,730.309232
-4241.724062,401,735.691697
-3516.825513,401,741.126079
-3815.801738,401,746.503507
-3303.674764,401,751.891502
-3629.323088,401,757.3109
-4066.361968,401,762.740746
-4545.542746,401,768.114583
-4686.781761,401,773.514619
-3742.057893,401,778.883195
-3540.256945,401,784.249557
-3694.752591,401,789.653268
-3490.821873,401,795.004
-3512.829976,401,800.382217
-3494.645914,401,805.741967
-4171.698631,401,811.136118
-4490.88303,401,816.527906
-4197.915312,401,821.907035
-3507.378245,401,827.27751
-3341.624976,401,832.662165
-4577.952757,401,838.050044
-4093.05455,401,843.45399
-3886.174995,401,848.813735
-2137.712731,401,854.196957
-2688.406201,401,859.570716
-3995.208388,401,865.12055
-3072.81403,401,870.541745
-2560.98565,401,875.902016
-4039.415226,401,881.287061
-3192.790857,401,886.692812
-3237.412622,401,892.053078
-4491.696765,401,897.455167
-3245.133445,401,902.81868
-3848.779286,401,908.214322
-4081.924712,401,913.583613
-3341.468951,401,918.971562
-3220.409114,401,924.361501
-4995.551331,401,929.703489
-4071.721217,401,935.07207
-5434.111999,401,940.450154
-2896.704335,401,945.813161
-2503.350465,401,951.223859
-3383.062491,401,956.596186
-4513.836835,401,961.967338
-4742.646533,401,967.350223
